Species,UTMCODE,SCPTS.2023.value,RLS_VAL_2021,SPEC_VAL_2023,EPS_VAL_2023
Alauda arvensis,BC5090,0,7,5,5
Alauda arvensis,BD3000,0,7,5,5
Alauda arvensis,BD4000,0,7,5,5
Alauda arvensis,BE4080,0,7,5,5
Alauda arvensis,BE7060,0,7,5,5
Alauda arvensis,BE7090,0,7,5,5
Alauda arvensis,BE8090,0,7,5,5
Alauda arvensis,BF5000,0,7,5,5
Alauda arvensis,BF5090,0,7,5,5
Alauda arvensis,BF6000,0,7,5,5
Alauda arvensis,BF6040,0,7,5,5
Alauda arvensis,BF7000,0,7,5,5
Alauda arvensis,BF7020,0,7,5,5
Alauda arvensis,BF8000,0,7,5,5
Alauda arvensis,BF8010,0,7,5,5
Alauda arvensis,BF8080,0,7,5,5
Alauda arvensis,BF9060,0,7,5,5
Alauda arvensis,BF9090,0,7,5,5
Alauda arvensis,BG5000,0,7,5,5
Alauda arvensis,BG5010,0,7,5,5
Alauda arvensis,BG5070,0,7,5,5
Alauda arvensis,BG5080,0,7,5,5
Alauda arvensis,BG6010,0,7,5,5
Alauda arvensis,BG6040,0,7,5,5
Alauda arvensis,BG6050,0,7,5,5
Alauda arvensis,BG6060,0,7,5,5
Alauda arvensis,BG7030,0,7,5,5
Alauda arvensis,BG7040,0,7,5,5
Alauda arvensis,BG7050,0,7,5,5
Alauda arvensis,BG8050,0,7,5,5
Alauda arvensis,BG8060,0,7,5,5
Alauda arvensis,BG8090,0,7,5,5
Alauda arvensis,BG9020,0,7,5,5
Alauda arvensis,BG9030,0,7,5,5
Alauda arvensis,BH5010,0,7,5,5
Alauda arvensis,BH5020,0,7,5,5
Alauda arvensis,BH6020,0,7,5,5
Alauda arvensis,BH8010,0,7,5,5
Alauda arvensis,BH8020,0,7,5,5
Alauda arvensis,BH9010,0,7,5,5
Alauda arvensis,CC6070,0,7,5,5
Alauda arvensis,CC6080,0,7,5,5
Alauda arvensis,CF0090,0,7,5,5
Alauda arvensis,CF1000,0,7,5,5
Alauda arvensis,CF1070,0,7,5,5
Alauda arvensis,CF2070,0,7,5,5
Alauda arvensis,CF3070,0,7,5,5
Alauda arvensis,CF3080,0,7,5,5
Alauda arvensis,CF4080,0,7,5,5
Alauda arvensis,CF4090,0,7,5,5
Alauda arvensis,CF5070,0,7,5,5
Alauda arvensis,CF5080,0,7,5,5
Alauda arvensis,CF5090,0,7,5,5
Alauda arvensis,CF6080,0,7,5,5
Alauda arvensis,CF6090,0,7,5,5
Alauda arvensis,CF7080,0,7,5,5
Alauda arvensis,CF7090,0,7,5,5
Alauda arvensis,CF8080,0,7,5,5
Alauda arvensis,CF8090,0,7,5,5
Alauda arvensis,CG0030,0,7,5,5
Alauda arvensis,CG0040,0,7,5,5
Alauda arvensis,CG0050,0,7,5,5
Alauda arvensis,CG0060,0,7,5,5
Alauda arvensis,CG1000,0,7,5,5
Alauda arvensis,CG1020,0,7,5,5
Alauda arvensis,CG1040,0,7,5,5
Alauda arvensis,CG1050,0,7,5,5
Alauda arvensis,CG1060,0,7,5,5
Alauda arvensis,CG1080,0,7,5,5
Alauda arvensis,CG1090,0,7,5,5
Alauda arvensis,CG2020,0,7,5,5
Alauda arvensis,CG2030,0,7,5,5
Alauda arvensis,CG2040,0,7,5,5
Alauda arvensis,CG2050,0,7,5,5
Alauda arvensis,CG2070,0,7,5,5
Alauda arvensis,CG2090,0,7,5,5
Alauda arvensis,CG3000,0,7,5,5
Alauda arvensis,CG3010,0,7,5,5
Alauda arvensis,CG3020,0,7,5,5
Alauda arvensis,CG3030,0,7,5,5
Alauda arvensis,CG3040,0,7,5,5
Alauda arvensis,CG3050,0,7,5,5
Alauda arvensis,CG3060,0,7,5,5
Alauda arvensis,CG3070,0,7,5,5
Alauda arvensis,CG3080,0,7,5,5
Alauda arvensis,CG3090,0,7,5,5
Alauda arvensis,CG4000,0,7,5,5
Alauda arvensis,CG4010,0,7,5,5
Alauda arvensis,CG4020,0,7,5,5
Alauda arvensis,CG4030,0,7,5,5
Alauda arvensis,CG4050,0,7,5,5
Alauda arvensis,CG4070,0,7,5,5
Alauda arvensis,CG4080,0,7,5,5
Alauda arvensis,CG4090,0,7,5,5
Alauda arvensis,CG5000,0,7,5,5
Alauda arvensis,CG5010,0,7,5,5
Alauda arvensis,CG5020,0,7,5,5
Alauda arvensis,CG5030,0,7,5,5
Alauda arvensis,CG5050,0,7,5,5
Alauda arvensis,CG5080,0,7,5,5
Alauda arvensis,CG5090,0,7,5,5
Alauda arvensis,CG6000,0,7,5,5
Alauda arvensis,CG6010,0,7,5,5
Alauda arvensis,CG6020,0,7,5,5
Alauda arvensis,CG6030,0,7,5,5
Alauda arvensis,CG6040,0,7,5,5
Alauda arvensis,CG6060,0,7,5,5
Alauda arvensis,CG6070,0,7,5,5
Alauda arvensis,CG6080,0,7,5,5
Alauda arvensis,CG6090,0,7,5,5
Alauda arvensis,CG7000,0,7,5,5
Alauda arvensis,CG7010,0,7,5,5
Alauda arvensis,CG7020,0,7,5,5
Alauda arvensis,CG7030,0,7,5,5
Alauda arvensis,CG7040,0,7,5,5
Alauda arvensis,CG7050,0,7,5,5
Alauda arvensis,CG7060,0,7,5,5
Alauda arvensis,CG7070,0,7,5,5
Alauda arvensis,CG7080,0,7,5,5
Alauda arvensis,CG7090,0,7,5,5
Alauda arvensis,CG8000,0,7,5,5
