ESP_LAT,ESP_CAS,Family,Order,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size,Ref1,hab_breadth,Ref3,adult_length_cm,female_maturity_d,clutch_size_n,clutches_per_y,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,Ref4,Ref5,PopulationDensity_ind_km2,Ref6,birth_or_hatching_weight_g,brain_size_g,relative_brain_size,Ref7,Degree_of_development,Gregariousness,Mating_system,Ref9
Alauda arvensis,Alondra comun,Alaudidae,Passeriformes,16.6,10,4.4,4.7,24,110.3,36,70.8,33.6,69,33.7,Shrubland,2,2,Omnivore,Invertivore,Terrestrial,26018285.25,"Tobias_et_al_2022, Traba et al. in prep (all beak measures, tarsus length, wing length, tail length, mass, habitat, habitat density, migration, trophic level, trophic niche, primary life style)",13,Cooke_et_al_2019,18.5,364.234,3.43,2,10.1,3.35,11.5,15.25,10,"https://seo.org/ave/alondra-comun/ (adult length), Myhrvold_et_al_2015",,28.71,Santini_et_al_2023,NA,0.97,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,"https://seo.org/ave/alondra-comun/ (gregariousness), Lislevand et al 2007 (mating system), Perez-Granados et al 2016 (gregariousness)"
Alaudala rufescens,Terrera marismeña,Alaudidae,Passeriformes,11.2,7.3,4,4.7,18.3,86.3,25.5,60.7,29.6,59.2,24.1,Grassland,3,2,Omnivore,Omnivore,Terrestrial,11413124.26,Tobias_et_al_2022,NA,Cooke_et_al_2019,13.5,365,3.5,2,5,2.04,11,9,5,"https://seo.org/ave/terrera-marismena/, Lislevand et al 2007 (egg mass), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.)",,1.04,Estrada et al 1996,NA,NA,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,"Madroño et al  2004 (gregariousness), Lislevand et al 2007 (mating system)"
Alectoris rufa,Perdiz roja,Phasianidae,Galliformes,23.4,12.7,7.6,8.7,41.3,155.3,39.8,114.7,25.8,90.5,527.9,Shrubland,3,1,Herbivore,Herbivore terrestrial,Terrestrial,953692.19,Tobias_et_al_2022,5,Cooke_et_al_2019,33,363.468,12,1.499902076,6.25,20.1,23.5,10,6.225,"https://seo.org/ave/perdiz-roja/ (adult length and fledging age), Myhrvold_et_al_2015",,22,Santini_et_al_2023,13.5,2,,Sayol et al. Unpublished,Precocial,seasonal,monogamous,CM
Anthus campestris,Bisbita campestre,Motacillidae,Passeriformes,19.9,11.4,4.3,4.5,25.9,92.7,26.1,65.3,28.5,71.5,26,Shrubland,2,3,Carnivore,Invertivore,Terrestrial,11176674.59,"Tobias_et_al_2022, Traba et al. in prep (all beak measures, tarsus length, wing length, tail length, mass, habitat, habitat density, migration, trophic level, trophic niche, primary life style)",10,Cooke_et_al_2019,17,365,4.2,1,7.08,2.73,13.5,14,7.08,"https://seo.org/ave/bisbita-campestre/ (adult length), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Calero-Riestra & García 2019 (birth weight), Myhrvold_et_al_2015",,3.805,Santini_et_al_2023,2.35,0.48,,Sayol et al. Unpublished,Semiprecocial,no,monogamous,"https://seo.org/ave/bisbita-campestre/ (mating system), Calero-Riestra & García 2019 (gregariousness and degree of development)"
Asio flammeus,Buho campestre,Strigidae,Strigiformes,27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,Grassland,3,3,Carnivore,Vertivore,Aerial,39874062.36,Tobias_et_al_2022,8,Cooke_et_al_2019,36.5,364.234,6,1.25,21.8,21.3,25.35,25.5,12.9,"https://seo.org/ave/buho-campestre/ (adult length), Myhrvold_et_al_2015",,5,Santini_et_al_2023,15.7,5.595,,Sayol et al. Unpublished,Semialtricial,seasonal,monogamous,"Lislevand et al 2007 (mating system), Madroño et al 2014 (gregariousness), https://animaldiversity.org/accounts/Asio_flammeus/ (degree of development)"
Burhinus oedicnemus,Alcaravan comun,Burhinidae,Charadriiformes,43.1,20.6,8.1,9.1,75.1,233.4,111.5,122.2,47.7,116.6,459,Grassland,3,3,Carnivore,Invertivore,Terrestrial,9168330.74,Tobias_et_al_2022,5,Cooke_et_al_2019,42,726.936,2,1.5,17.9,40.5,25,39,17.83166667,"https://seo.org/ave/alcaravan-comun/ (adult length), Myhrvold_et_al_2015",,2.3,Santini_et_al_2023,29.7,3.64,,Sayol et al. Unpublished,Precocial,all-year round,monogamous,"Madroño et al 2004 (gregariousness), Snow and Perrins 1998 (monogamy)"
Calandrella brachydactyla,Terrera comun,Alaudidae,Passeriformes,14.1,9.3,4.6,5.1,20.4,93.2,32.3,61.2,34.5,59,21.3,Shrubland,2,2,Omnivore,Invertivore,Terrestrial,9578341.98,"Tobias_et_al_2022, Traba et al. in prep (all beak measures, tarsus length, wing length, tail length, mass, habitat, habitat density, migration, trophic level, trophic niche, primary life style)",5,Cooke_et_al_2019,13.5,365,4.005,2,8.69,2.43,13,12.5,8.69,"https://seo.org/ave/terrera-comun/ (adult length, incubation and fleding age), Bird et al 2020 (female maturity_using age at first breeding, longevity based on imputed values_also assigned to max long.), Myhrvold_et_al_2015",,11,Santini_et_al_2023,1.8,NA,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,"de Juana, Suarez and Kirwan 2020"
Chersophilus duponti,Alondra ricoti,Alaudidae,Passeriformes,22.7,15.1,5,5.2,24.1,101.7,24.8,70.9,25.9,65.4,39.3,Shrubland,2,1,Carnivore,Invertivore,Terrestrial,288089.02,"Tobias_et_al_2022, Traba et al. in prep (all beak measures, tarsus length, wing length, tail length, mass, habitat, habitat density, migration, trophic level, trophic niche, primary life style)",5,Cooke_et_al_2019,18,365,2.76,2,4,3.59,12.5,30,4,"https://seo.org/ave/alondra-ricoti/ (adult length, clutches p year, and incubation), Bird et al 2020 (female maturity_using age at first breeding, longevity_copied the same to max long.), Garza et al 2005 (fledging age), Pérez-Granados et al 2017 (birth weight), Myhrvold_et_al_2015",,8.25,"Pérez-Granados et al 2013, García et al 2008, Martín-Vivaldi et al 1999, Garza et al 2005 (Median value of these sources)",3.275,NA,,Sayol et al. Unpublished,Altricial,no,monogamous,"Pérez-Granados et al 2017, Snow and Perins 1998"
Circus cyaneus,Aguilucho palido,Accipitridae,Accipitriformes,30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,Grassland,3,3,Carnivore,Vertivore,Aerial,17331412.86,Tobias_et_al_2022,8,Cooke_et_al_2019,50,584.4,4.5,1,17.1,31,31,36.25,16.74983333,"https://seo.org/ave/aguilucho-palido/ (adult length), Myhrvold_et_al_2015",,1.05,Santini_et_al_2023,21.8,4.775,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,BA
Circus pygargus,Aguilucho cenizo,Accipitridae,Accipitriformes,26.1,13.5,8.6,11.2,62,362.3,188,173.3,52,224.8,310.8,Grassland,3,3,Carnivore,Vertivore,Aerial,6837154.32,Tobias_et_al_2022,7,Cooke_et_al_2019,42.5,819.335,4.25,1,16.3,24,29.25,37.5,16.23333333,"https://seo.org/ave/aguilucho-cenizo/ (adult length), Myhrvold_et_al_2015",Bea Arroyo,NA,,16.7,NA,,Sayol et al. Unpublished,Altricial,seasonal,monogamous,BA
