"ccaa.shortname.en","TD30_total_area","porcentaje.x","TD17_total_area","porcentaje.y","TD10_total_area","porcentaje.x.x","TD5_total_area","porcentaje.y.y","FD30_total_area","porcentaje.x.x.x","FD17_total_area","porcentaje.y.y.y","FD10_total_area","porcentaje.x.x.x.x","FD5_total_area","porcentaje.y.y.y.y","PD30_total_area","porcentaje.x.x.x.x.x","PD17_total_area","porcentaje.y.y.y.y.y","PD10_total_area","porcentaje.x.x.x.x.x.x","PD5_total_area","porcentaje.y.y.y.y.y.y"
"Andalusia",12565035079.4894,10.93,6073582574.69454,10.39,4335791465.36417,10.08,2062812122.81084,10.35,14809586135.7712,13,6451817946.08262,10,3910485660.49286,10.33,2051359643.13651,10.94,22486303732.1636,19.83,14518319302.0057,22.66,8881086250.485,23.66,4549460707.64735,24.29
"Aragon",16865761591.5528,14.67,10930280918.4578,18.7,8558666484.66411,19.9,4221825760.24187,21.17,5283727044.04758,4.64,2951189376.84338,4.57,1497566787.29553,3.96,526190152.127416,2.81,5313100790.96699,4.69,2099116739.15064,3.28,605341426.8176,1.61,105277605.254926,0.56
"Balearic Islands",352556201.258009,0.31,83226976.0343795,0.14,NA,NA,NA,NA,993671619.854026,0.87,180047032.016111,0.28,180047032.016111,0.48,79404552.1313737,0.42,2780824589.77834,2.45,1648802080.79558,2.57,755705603.199614,2.01,366709995.459429,1.96
"Basque Country",102549224.975931,0.09,46800611.2773914,0.08,46800611.277391,0.11,NA,NA,1213568588.48372,1.06,174014490.819948,0.27,102301423.398146,0.27,82535195.2864338,0.44,1348403237.91299,1.19,595815974.119751,0.93,324102906.548211,0.86,19766228.1117117,0.11
"Cantabria",34954087.1079804,0.03,NA,NA,NA,NA,NA,NA,642223439.761756,0.56,239194303.37534,0.37,NA,NA,NA,NA,1338794174.95009,1.18,420371486.332226,0.66,80701224.9955374,0.22,NA,NA
"Castile-La Mancha",19133420909.6755,16.64,11317348420.7054,19.36,9426278334.58613,21.92,4879006420.36188,24.47,24245557101.981,21.28,18058519623.6301,27.98,12800887558.8518,33.81,7874251880.81331,42.01,22161590420.9585,19.54,14529732049.4203,22.68,10106715729.5976,26.93,5709855295.68294,30.49
"Castile and León",32978867570.8134,28.68,13639811353.2397,23.34,8543987063.64602,19.87,2458652895.30048,12.33,32061509300.6626,28.14,18589397211.3505,28.81,8906861871.66254,23.53,2229850639.27438,11.9,17235806960.2039,15.2,8185668946.43009,12.78,4530044262.85789,12.07,1722804197.39372,9.2
"Catalonia",3426606424.98634,2.98,1358330770.68596,2.32,1257579997.36739,2.92,300384853.855001,1.51,2548159476.51852,2.24,678873324.210631,1.05,198212054.952402,0.52,97619366.114526,0.52,2929860918.21216,2.58,961446544.550333,1.5,225902918.860471,0.6,NA,NA
"Ceuta",15256170.1647058,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4749897.72879571,0,NA,NA,NA,NA,NA,NA
"Extremadura",13850346229.1977,12.04,7686770063.19455,13.15,6188387387.0918,14.39,3582703139.75445,17.97,17575502550.279,15.42,11035009950.7684,17.1,7066407100.61552,18.67,3902428183.94068,20.82,17495004276.6321,15.43,10741079646.203,16.77,7908910176.34653,21.07,4414364770.87258,23.57
"La Rioja",1157196896.66862,1.01,239145085.498401,0.41,72225682.999129,0.17,30103780.3637148,0.15,356361042.116818,0.31,211134659.539869,0.33,34287414.9439228,0.09,NA,NA,415559861.983577,0.37,100000000.000001,0.16,NA,NA,NA,NA
"Madrid",4790726949.96325,4.17,2257171016.55607,3.86,1399543101.53173,3.25,315393033.31334,1.58,3778009512.82196,3.32,2785123265.18838,4.32,1629736379.0073,4.3,946318072.666956,5.05,1979491023.04846,1.75,1160652089.06183,1.81,638543019.869408,1.7,344904096.029329,1.84
"Murcia",1351982676.44032,1.18,684728911.976602,1.17,484728911.950564,1.13,287124213.611296,1.44,1949838855.80867,1.71,489157332.407158,0.76,42807803.1486823,0.11,33532530.9373418,0.18,2981812891.54364,2.63,1917580336.03282,2.99,910752782.786439,2.43,501119748.677617,2.68
"Navarra",4071653307.41095,3.54,2606603781.76258,4.46,1839141516.38419,4.28,1428064030.29589,7.16,2280518508.05815,2,308392379.218382,0.48,175692082.425593,0.46,100000000.074845,0.53,1640957477.4529,1.45,353039743.106674,0.55,153039743.006882,0.41,NA,NA
"Valencian Community",1966933269.48642,1.71,718004693.759828,1.23,279632112.957339,0.65,268911744.512343,1.35,2416275540.75106,2.12,1116513581.24817,1.73,627419503.690186,1.66,378853353.726306,2.02,2866650872.6116,2.53,1112485460.27454,1.74,549249684.378845,1.46,275868966.805692,1.47
"Asturias",NA,NA,NA,NA,NA,NA,NA,NA,397559056.60921,0.35,197278098.914732,0.31,97186036.0585747,0.26,97186036.0585747,0.52,1001205331.85576,0.88,302566856.382993,0.47,97186036.0585747,0.26,97186036.0585747,0.52
"Galicia",NA,NA,NA,NA,NA,NA,NA,NA,1183313285.83321,1.04,345326069.193455,0.54,299447989.076334,0.79,198985389.684077,1.06,4751109489.03635,4.19,2366757698.22266,3.69,346413898.96084,0.92,NA,NA
"Melilla",NA,NA,NA,NA,NA,NA,NA,NA,13279506.3787863,0.01,13279506.3787863,0.02,13279506.3787863,0.04,NA,NA,13279506.3787863,0.01,13279506.3787863,0.02,13279506.3787863,0.04,NA,NA
