AC	Conservation priorities	Nogo_areas	Conservation priorities	Nogo_areas
Castile-La Mancha	96	115	24.61538462	20.57245081
Andalusia	91	77	23.33333333	13.7745975
Extremadura	69	103	17.69230769	18.42576029
Castile and León	56	115	14.35897436	20.57245081
Aragón	27	66	6.923076923	11.80679785
Catalonia	23	5	5.897435897	0.894454383
Región de Murcia	11	4	2.820512821	0.715563506
Comunidad Foral de Navarra	11	7	2.820512821	1.252236136
Valencian Community	3	4	0.769230769	0.715563506
Madrid	2	34	0.512820513	6.082289803
La Rioja	1	2	0.256410256	0.357781753
Asturias	0	2	0	0.357781753
Balearic Islands	0	12	0	2.146690519
Cantabria	0	4	0	0.715563506
Galicia	0	4	0	0.715563506
Basque Country	0	5	0	0.894454383
Ceuta	0	0	0	0
	390	559		
