OBJECTID	Texto	ZONE_CODE	COUNT	AREA	MIN	MAX	RANGE	MEAN	STD	SUM	VARIETY	MAJORITY	MINORITY	MEDIAN
1	Andalucía	1	573	57300000000	0	1	1	0.158813264	0.365501862	91	2	0	1	0
2	Aragón	2	376	37600000000	0	1	1	0.071808511	0.25817058	27	2	0	1	0
3	Principado de Asturias	3	29	2900000000	0	0	0	0	0	0	1	0	0	0
4	Islas Baleares	4	47	4700000000	0	0	0	0	0	0	1	0	0	0
5	Cantabria	5	34	3400000000	0	0	0	0	0	0	1	0	0	0
6	Castilla y León	6	840	84000000000	0	1	1	0.066666667	0.249443826	56	2	0	1	0
7	Castilla - La Mancha	7	511	51100000000	0	1	1	0.187866928	0.390605869	96	2	0	1	0
8	Cataluña	8	263	26300000000	0	1	1	0.087452471	0.282496968	23	2	0	1	0
9	Comunidad Valenciana	9	171	17100000000	0	1	1	0.01754386	0.131286224	3	2	0	1	0
10	Extremadura	10	366	36600000000	0	1	1	0.18852459	0.391130501	69	2	0	1	0
11	Galicia	11	92	9200000000	0	0	0	0	0	0	1	0	0	0
12	Comunidad de Madrid	12	78	7800000000	0	1	1	0.025641026	0.158061898	2	2	0	1	0
13	Región de Murcia	13	81	8100000000	0	1	1	0.135802469	0.34257869	11	2	0	1	0
14	Comunidad Foral de Navarra	14	86	8600000000	0	1	1	0.127906977	0.3339862	11	2	0	1	0
15	País Vasco	15	50	5000000000	0	0	0	0	0	0	1	0	0	0
16	La Rioja	16	49	4900000000	0	1	1	0.020408163	0.141391903	1	2	0	1	0
17	Ceuta	17	1	100000000	0	0	0	0	0	0	1	0	0	0
