OBJECTID,Texto,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,Andalucía,1,573,57300000000.000000000000000,0,1,1,0.134380453752181,0.341060621299996,77.000000000000000,2,0,1,0
2,Aragón,2,376,37600000000.000000000000000,0,1,1,0.175531914893617,0.380421426509335,66.000000000000000,2,0,1,0
3,Principado de Asturias,3,29,2900000000.000000000000000,0,1,1,0.068965517241379,0.253395490632743,2.000000000000000,2,0,1,0
4,Islas Baleares,4,47,4700000000.000000000000000,0,1,1,0.255319148936170,0.436040458125940,12.000000000000000,2,0,1,0
5,Cantabria,5,34,3400000000.000000000000000,0,1,1,0.117647058823529,0.322189739708921,4.000000000000000,2,0,1,0
6,Castilla y León,6,840,84000000000.000000000000000,0,1,1,0.136904761904762,0.343746778999545,115.000000000000000,2,0,1,0
7,Castilla - La Mancha,7,511,51100000000.000000000000000,0,1,1,0.225048923679061,0.417614541928268,115.000000000000000,2,0,1,0
8,Cataluña,8,263,26300000000.000000000000000,0,1,1,0.019011406844106,0.136564904913064,5.000000000000000,2,0,1,0
9,Comunidad Valenciana,9,171,17100000000.000000000000000,0,1,1,0.023391812865497,0.151144420857545,4.000000000000000,2,0,1,0
10,Extremadura,10,366,36600000000.000000000000000,0,1,1,0.281420765027322,0.449692248141725,103.000000000000000,2,0,1,0
11,Galicia,11,92,9200000000.000000000000000,0,1,1,0.043478260869565,0.203931119992323,4.000000000000000,2,0,1,0
12,Comunidad de Madrid,12,78,7800000000.000000000000000,0,1,1,0.435897435897436,0.495873836046506,34.000000000000000,2,0,1,0
13,Región de Murcia,13,81,8100000000.000000000000000,0,1,1,0.049382716049383,0.216665787343015,4.000000000000000,2,0,1,0
14,Comunidad Foral de Navarra,14,86,8600000000.000000000000000,0,1,1,0.081395348837209,0.273441302704764,7.000000000000000,2,0,1,0
15,País Vasco,15,50,5000000000.000000000000000,0,1,1,0.100000000000000,0.300000000000000,5.000000000000000,2,0,1,0
16,La Rioja,16,49,4900000000.000000000000000,0,1,1,0.040816326530612,0.197864483976177,2.000000000000000,2,0,1,0
17,Ceuta,17,1,100000000.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
