OBJECTID_1,Join_Count,TARGET_FID,Codigo,Texto,Texto_Alt,OBJECTID,pointid,grid_code,Shape_Length,Shape_Area
1,166,0,01,Andalucía,Andalucía,2922,2922,1,2004976.276514535300000,87608773604.956985000000000
2,105,1,02,Aragón,Aragón,464,464,1,1492318.579080272200000,47734324433.462601000000000
3,1,2,03,Principado de Asturias,Asturias,41,41,1,832713.082516399790000,10612564766.371550000000000
4,8,3,04,Islas Baleares,Illes Balears,2102,2102,1,1163637.159593879700000,5003847242.411285400000000
5,0,4,05,Canarias,Canarias,,,,1429042.792175642400000,7718437082.892721200000000
6,4,5,06,Cantabria,Cantabria,28,28,1,710428.592005627000000,5317688582.974997500000000
7,263,6,07,Castilla y León,Castilla y León,156,156,1,2680662.841039165400000,94226511234.627594000000000
8,256,7,08,Castilla - La Mancha,Castilla - La Mancha,1482,1482,1,2260810.762188723300000,79410441173.892822000000000
9,18,8,09,Cataluña,Catalunya,557,557,1,1445894.716218793300000,32207637216.328747000000000
10,19,9,10,Comunidad Valenciana,Comunitat Valenciana,2006,2006,1,1340472.024809134900000,23265871789.056854000000000
11,187,10,11,Extremadura,Extremadura,1960,1960,1,1312515.823516342300000,41683648406.798729000000000
12,4,11,12,Galicia,Galicia,4,4,1,2053721.376246191300000,29669538800.755527000000000
13,39,12,13,Comunidad de Madrid,Madrid,1709,1709,1,740045.330847936450000,8025102126.526498800000000
14,16,13,14,Región de Murcia,Murcia,2943,2943,1,644689.062525952230000,11302615416.820116000000000
15,24,14,15,Comunidad Foral de Navarra,Nafarroa,246,246,1,770763.981123969420000,10390954770.587574000000000
16,6,15,16,País Vasco,Euskadi,54,54,1,913415.819828085480000,7221628486.764285100000000
17,0,16,17,La Rioja,La Rioja,,,,568001.811146473400000,5041123211.776631400000000
18,0,17,18,Ceuta,Ceuta,,,,33545.753226883360000,19490541.594134446000000
19,0,18,19,Melilla,Melilla,,,,21713.984292377801000,13157764.967197316000000
