"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00026 0.0000 0.0000
0.00053 0.0000 0.0000
0.00079 0.0000 0.0000
0.00105 0.0000 0.0000
0.00132 0.0000 0.0000
0.00158 0.0000 0.0000
0.00184 0.0000 0.0000
0.00210 0.0000 0.0000
0.00237 0.0000 0.0000
0.00263 0.0000 0.0000
0.00289 0.0000 0.0000
0.00316 0.0000 0.0000
0.00342 0.0000 0.0000
0.00368 0.0000 0.0000
0.00395 0.0000 0.0000
0.00421 0.0000 0.0000
0.00447 0.0000 0.0000
0.00474 0.0000 0.0000
0.00500 0.0000 0.0000
0.00526 0.0000 0.0000
0.00552 0.0000 0.0000
0.00579 0.0000 0.0000
0.00605 0.0000 0.0000
0.00631 0.0000 0.0000
0.00658 0.0000 0.0000
0.00684 0.0000 0.0000
0.00710 0.0000 0.0000
0.00737 0.0000 0.0000
0.00763 0.0000 0.0000
0.00789 0.0000 0.0000
0.00816 0.0000 0.0000
0.00842 0.0000 0.0000
0.00868 0.0000 0.0000
0.00895 0.0000 0.0000
0.00921 0.0000 0.0000
0.00947 0.0000 0.0000
0.00973 0.0000 0.0000
0.01000 0.0000 0.0000
0.01026 0.0000 0.0000
0.01052 0.0000 0.0000
0.01079 0.0000 0.0000
0.01105 0.0000 0.0000
0.01131 0.0000 0.0000
0.01158 0.0000 0.0000
0.01184 0.0000 0.0000
0.01210 0.0000 0.0000
0.01237 0.0000 0.0000
0.01263 0.0000 0.0000
0.01289 0.0000 0.0000
0.01315 0.0000 0.0000
0.01342 0.0000 0.0000
0.01368 0.0000 0.0000
0.01394 0.0000 0.0000
0.01421 0.0000 0.0000
0.01447 0.0000 0.0000
0.01473 0.0000 0.0000
0.01500 0.0000 0.0000
0.01526 0.0000 0.0000
0.01552 0.0000 0.0000
0.01579 0.0000 0.0000
0.01605 0.0000 0.0000
0.01631 0.0000 0.0000
0.01657 0.0000 0.0000
0.01684 0.0000 0.0000
0.01710 0.0000 0.0000
0.01736 0.0000 0.0000
0.01763 0.0000 0.0000
0.01789 0.0000 0.0000
0.01815 0.0000 0.0000
0.01842 0.0000 0.0000
0.01868 0.0000 0.0000
0.01894 0.0000 0.0000
0.01921 0.0000 0.0000
0.01947 0.0000 0.0000
0.01973 0.0000 0.0000
0.01999 0.0000 0.0000
0.02026 0.0000 0.0000
0.02052 0.0000 0.0000
0.02078 0.0000 0.0000
0.02105 0.0000 0.0000
0.02131 0.0000 0.0000
0.02157 0.0000 0.0000
0.02184 0.0000 0.0000
0.02210 0.0000 0.0000
0.02236 0.0000 0.0000
0.02263 0.0000 0.0000
0.02289 0.0000 0.0000
0.02315 0.0000 0.0000
0.02341 0.0000 0.0000
0.02368 0.0000 0.0000
0.02394 0.0000 0.0000
0.02420 0.0000 0.0000
0.02447 0.0000 0.0000
0.02473 0.0000 0.0000
0.02499 0.0000 0.0000
0.02526 0.0000 0.0000
0.02552 0.0000 0.0000
0.02578 0.0000 0.0000
0.02605 0.0000 0.0000
