"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 3801 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00026 3800 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00053 3799 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00079 3798 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00105 3797 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00132 3796 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00158 3795 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00184 3794 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00210 3793 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00237 3792 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00263 3791 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00289 3790 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00316 3789 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00342 3788 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00368 3787 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00395 3786 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00421 3785 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00447 3784 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00474 3783 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00500 3782 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00526 3781 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00552 3780 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00579 3779 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00605 3778 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00631 3777 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00658 3776 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00684 3775 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00710 3774 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00737 3773 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00763 3772 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00789 3771 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00816 3770 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00842 3769 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00868 3768 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00895 3767 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00921 3766 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00947 3765 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00973 3764 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01000 3763 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01026 3762 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01052 3761 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01079 3760 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01105 3759 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01131 3758 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01158 3757 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01184 3756 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01210 3755 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01237 3754 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01263 3753 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01289 3752 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01315 3751 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01342 3750 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01368 3749 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01394 3748 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01421 3747 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01447 3746 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01473 3745 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01500 3744 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01526 3743 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01552 3742 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01579 3741 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01605 3740 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01631 3739 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01657 3738 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01684 3737 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01710 3736 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01736 3735 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01763 3734 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01789 3733 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.01815 3732 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
